graph,algo,diameter,bfs_count,chosenvtx, weightp, time_diameter_exact,sx,sy
cl_n=50000_deg=10_ple=2.75_seed=237,ifub_foursweephd,9,12,0,-1, 1567.68,-1,-1
cl_n=50000_deg=10_ple=2.75_seed=237,ifub_hd,9,8,0,-1, 377.652,-1,-1
cl_n=50000_deg=10_ple=2.75_seed=2,ifub_foursweephd,9,8,0,-1, 563.157,-1,-1
cl_n=50000_deg=10_ple=2.75_seed=2,ifub_hd,9,4,0,-1, 257.005,-1,-1
cl_n=50000_deg=10_ple=2.75_seed=321,ifub_foursweephd,9,14,2,-1, 1339.35,-1,-1
cl_n=50000_deg=10_ple=2.75_seed=321,ifub_hd,9,5,0,-1, 219.084,-1,-1
cl_n=50000_deg=10_ple=2.75_seed=356,ifub_foursweephd,9,11,0,-1, 874.624,-1,-1
cl_n=50000_deg=10_ple=2.75_seed=356,ifub_hd,9,7,0,-1, 372.338,-1,-1
cl_n=50000_deg=10_ple=2.75_seed=489,ifub_foursweephd,8,9,0,-1, 1113.12,-1,-1
cl_n=50000_deg=10_ple=2.75_seed=489,ifub_hd,8,5,0,-1, 294.285,-1,-1
cl_n=50000_deg=10_ple=2.75_seed=55,ifub_foursweephd,9,13,0,-1, 1286.99,-1,-1
cl_n=50000_deg=10_ple=2.75_seed=55,ifub_hd,9,9,0,-1, 562.815,-1,-1
cl_n=50000_deg=10_ple=2.75_seed=64,ifub_foursweephd,9,11,0,-1, 1035.06,-1,-1
cl_n=50000_deg=10_ple=2.75_seed=64,ifub_hd,9,7,0,-1, 459.591,-1,-1
cl_n=50000_deg=10_ple=2.75_seed=666,ifub_foursweephd,8,8,0,-1, 737.787,-1,-1
cl_n=50000_deg=10_ple=2.75_seed=666,ifub_hd,8,4,0,-1, 137.361,-1,-1
cl_n=50000_deg=10_ple=2.75_seed=836,ifub_foursweephd,9,8,0,-1, 694.212,-1,-1
cl_n=50000_deg=10_ple=2.75_seed=836,ifub_hd,9,4,0,-1, 7.69477,-1,-1
cl_n=50000_deg=10_ple=3.0_seed=1001,ifub_foursweephd,8,11,0,-1, 2169.22,-1,-1
cl_n=50000_deg=10_ple=3.0_seed=1001,ifub_hd,8,7,0,-1, 894.134,-1,-1
cl_n=50000_deg=10_ple=3.0_seed=14,ifub_foursweephd,9,10,0,-1, 1118.03,-1,-1
cl_n=50000_deg=10_ple=3.0_seed=14,ifub_hd,9,6,0,-1, 640.719,-1,-1
cl_n=50000_deg=10_ple=3.0_seed=237,ifub_foursweephd,8,10,0,-1, 1193.9,-1,-1
cl_n=50000_deg=10_ple=3.0_seed=237,ifub_hd,8,6,0,-1, 592.936,-1,-1
cl_n=50000_deg=10_ple=3.0_seed=2,ifub_foursweephd,8,18,0,-1, 2193.35,-1,-1
cl_n=50000_deg=10_ple=3.0_seed=2,ifub_hd,8,14,0,-1, 1433.5,-1,-1
cl_n=50000_deg=10_ple=3.0_seed=321,ifub_foursweephd,8,12,0,-1, 1454.26,-1,-1
cl_n=50000_deg=10_ple=3.0_seed=321,ifub_hd,8,8,0,-1, 808.603,-1,-1
cl_n=50000_deg=10_ple=3.0_seed=356,ifub_foursweephd,9,16,0,-1, 1754.9,-1,-1
cl_n=50000_deg=10_ple=3.0_seed=356,ifub_hd,9,12,0,-1, 1018.35,-1,-1
cl_n=50000_deg=10_ple=3.0_seed=489,ifub_foursweephd,9,12,0,-1, 340.311,-1,-1
cl_n=50000_deg=10_ple=3.0_seed=489,ifub_hd,9,8,0,-1, 639.015,-1,-1
cl_n=50000_deg=10_ple=3.0_seed=55,ifub_hd,9,8,0,-1, 755.14,-1,-1
cl_n=50000_deg=10_ple=3.0_seed=55,ifub_foursweephd,9,48,12,-1, 5075,-1,-1
cl_n=50000_deg=10_ple=3.0_seed=64,ifub_hd,8,10,0,-1, 1146,-1,-1
cl_n=50000_deg=10_ple=3.0_seed=64,ifub_foursweephd,8,33,4,-1, 3478.99,-1,-1
cl_n=50000_deg=10_ple=3.0_seed=666,ifub_foursweephd,9,16,0,-1, 2212.77,-1,-1
cl_n=50000_deg=10_ple=3.0_seed=666,ifub_hd,9,12,0,-1, 1261.25,-1,-1
cl_n=50000_deg=10_ple=3.0_seed=836,ifub_foursweephd,8,14,0,-1, 1860.24,-1,-1
cl_n=50000_deg=10_ple=3.0_seed=836,ifub_hd,8,10,0,-1, 1257.07,-1,-1
cl_n=50000_deg=10_ple=3.35_seed=1001,ifub_foursweephd,9,39,0,-1, 4492.66,-1,-1
cl_n=50000_deg=10_ple=3.35_seed=1001,ifub_hd,9,35,0,-1, 3269.7,-1,-1
cl_n=50000_deg=10_ple=3.35_seed=14,ifub_hd,9,33,0,-1, 3319.04,-1,-1
cl_n=50000_deg=10_ple=3.35_seed=14,ifub_foursweephd,9,120,2,-1, 9766.5,-1,-1
cl_n=50000_deg=10_ple=3.35_seed=237,ifub_hd,9,30,0,-1, 3011.24,-1,-1
cl_n=50000_deg=10_ple=3.35_seed=237,ifub_foursweephd,9,257,8,-1, 18295.9,-1,-1
cl_n=50000_deg=10_ple=3.35_seed=2,ifub_hd,9,52,0,-1, 4928.42,-1,-1
cl_n=50000_deg=10_ple=3.35_seed=2,ifub_foursweephd,9,1447,29,-1, 138734,-1,-1
cl_n=50000_deg=10_ple=3.35_seed=321,ifub_foursweephd,8,66,0,-1, 6905.24,-1,-1
cl_n=50000_deg=10_ple=3.35_seed=321,ifub_hd,8,62,0,-1, 6191.02,-1,-1
cl_n=50000_deg=10_ple=3.35_seed=356,ifub_hd,8,37,0,-1, 3499.71,-1,-1
cl_n=50000_deg=10_ple=3.35_seed=356,ifub_foursweephd,8,82,2,-1, 8347.43,-1,-1
cl_n=50000_deg=10_ple=3.35_seed=489,ifub_hd,9,42,0,-1, 3730.15,-1,-1
cl_n=50000_deg=10_ple=3.35_seed=489,ifub_foursweephd,9,46,0,-1, 6620.13,-1,-1
cl_n=50000_deg=10_ple=3.35_seed=55,ifub_hd,9,42,0,-1, 3926.93,-1,-1
cl_n=50000_deg=10_ple=3.35_seed=55,ifub_foursweephd,9,188,3,-1, 14999.2,-1,-1
cl_n=50000_deg=10_ple=3.35_seed=64,ifub_foursweephd,9,43,0,-1, 4506.81,-1,-1
cl_n=50000_deg=10_ple=3.35_seed=64,ifub_hd,9,39,0,-1, 3860.77,-1,-1
cl_n=50000_deg=10_ple=3.35_seed=666,ifub_hd,8,50,0,-1, 5854.44,-1,-1
cl_n=50000_deg=10_ple=3.35_seed=666,ifub_foursweephd,8,86,1,-1, 8218.81,-1,-1
cl_n=50000_deg=10_ple=3.35_seed=836,ifub_foursweephd,8,40,0,-1, 4707.61,-1,-1
cl_n=50000_deg=10_ple=3.35_seed=836,ifub_hd,8,36,0,-1, 3486.42,-1,-1
cl_n=50000_deg=10_ple=3.9_seed=1001,ifub_hd,8,338,0,-1, 35071.6,-1,-1
cl_n=50000_deg=10_ple=3.9_seed=1001,ifub_foursweephd,8,20481,1805,-1, 1.08858e+06,-1,-1
cl_n=50000_deg=10_ple=3.9_seed=14,ifub_hd,8,189,0,-1, 17367.9,-1,-1
cl_n=50000_deg=10_ple=3.9_seed=14,ifub_foursweephd,8,10508,61,-1, 253160,-1,-1
cl_n=50000_deg=10_ple=3.9_seed=237,ifub_hd,9,301,0,-1, 19802.5,-1,-1
cl_n=50000_deg=10_ple=3.9_seed=237,ifub_foursweephd,9,305,0,-1, 27512.2,-1,-1
cl_n=50000_deg=10_ple=3.9_seed=2,ifub_hd,8,293,0,-1, 25987.7,-1,-1
cl_n=50000_deg=10_ple=3.9_seed=2,ifub_foursweephd,8,2084,4,-1, 144941,-1,-1
cl_n=50000_deg=10_ple=3.9_seed=321,ifub_hd,9,276,0,-1, 27047,-1,-1
cl_n=50000_deg=10_ple=3.9_seed=321,ifub_foursweephd,9,6742,45,-1, 390418,-1,-1
cl_n=50000_deg=10_ple=3.9_seed=356,ifub_hd,9,302,0,-1, 26247,-1,-1
cl_n=50000_deg=10_ple=3.9_seed=356,ifub_foursweephd,9,8799,25,-1, 705870,-1,-1
cl_n=50000_deg=10_ple=3.9_seed=489,ifub_hd,8,311,0,-1, 51861.2,-1,-1
cl_n=50000_deg=10_ple=3.9_seed=489,ifub_foursweephd,8,4394,7,-1, 370522,-1,-1
cl_n=50000_deg=10_ple=3.9_seed=55,ifub_hd,8,260,0,-1, 24526.8,-1,-1
cl_n=50000_deg=10_ple=3.9_seed=55,ifub_foursweephd,8,3816,4,-1, 381506,-1,-1
cl_n=50000_deg=10_ple=3.9_seed=64,ifub_foursweephd,8,286,0,-1, 23482.2,-1,-1
cl_n=50000_deg=10_ple=3.9_seed=64,ifub_hd,8,282,0,-1, 21842.8,-1,-1
cl_n=50000_deg=10_ple=3.9_seed=666,ifub_hd,9,242,0,-1, 17134.8,-1,-1
cl_n=50000_deg=10_ple=3.9_seed=666,ifub_foursweephd,9,767,2,-1, 64585.3,-1,-1
cl_n=50000_deg=10_ple=3.9_seed=836,ifub_hd,9,226,0,-1, 16314,-1,-1
cl_n=50000_deg=10_ple=3.9_seed=836,ifub_foursweephd,9,506,1,-1, 55390.8,-1,-1
cl_n=50000_deg=10_ple=5.1_seed=1001,ifub_hd,8,5770,0,-1, 568192,-1,-1
cl_n=50000_deg=10_ple=5.1_seed=1001,ifub_foursweephd,8,34979,141,-1, 1.04611e+06,-1,-1
cl_n=50000_deg=10_ple=5.1_seed=14,ifub_hd,9,4045,1411,-1, 287807,-1,-1
cl_n=50000_deg=10_ple=5.1_seed=14,ifub_foursweephd,9,25728,4534,-1, 1.03644e+06,-1,-1
cl_n=50000_deg=10_ple=5.1_seed=237,ifub_hd,8,4609,0,-1, 564118,-1,-1
cl_n=50000_deg=10_ple=5.1_seed=237,ifub_foursweephd,8,31932,599,-1, 697970,-1,-1
cl_n=50000_deg=10_ple=5.1_seed=2,ifub_hd,9,3895,0,-1, 333271,-1,-1
cl_n=50000_deg=10_ple=5.1_seed=2,ifub_foursweephd,9,35734,1544,-1, 1.16189e+06,-1,-1
cl_n=50000_deg=10_ple=5.1_seed=321,ifub_hd,9,2316,0,-1, 315628,-1,-1
cl_n=50000_deg=10_ple=5.1_seed=321,ifub_hd,9,2316,0,-1, 113312,-1,-1
cl_n=50000_deg=10_ple=5.1_seed=321,ifub_foursweephd,9,22899,1185,-1, 923495,-1,-1
cl_n=50000_deg=10_ple=5.1_seed=356,ifub_hd,8,5400,0,-1, 240909,-1,-1
cl_n=50000_deg=10_ple=5.1_seed=356,ifub_foursweephd,8,34327,534,-1, 493907,-1,-1
cl_n=50000_deg=10_ple=5.1_seed=489,ifub_hd,8,3067,0,-1, 315774,-1,-1
cl_n=50000_deg=10_ple=5.1_seed=489,ifub_foursweephd,8,26847,89,-1, 1.03529e+06,-1,-1
cl_n=50000_deg=10_ple=5.1_seed=55,ifub_foursweephd,9,25085,627,-1, 271394,-1,-1
cl_n=50000_deg=10_ple=5.1_seed=55,ifub_hd,9,3425,0,-1, 111175,-1,-1
cl_n=50000_deg=10_ple=5.1_seed=55,ifub_hd,9,3425,0,-1, 419907,-1,-1
cl_n=50000_deg=10_ple=5.1_seed=64,ifub_hd,9,4218,0,-1, 266176,-1,-1
cl_n=50000_deg=10_ple=5.1_seed=64,ifub_foursweephd,9,37961,4136,-1, 1.16651e+06,-1,-1
cl_n=50000_deg=10_ple=5.1_seed=666,ifub_hd,9,4197,0,-1, 369094,-1,-1
cl_n=50000_deg=10_ple=5.1_seed=666,ifub_foursweephd,9,17040,7,-1, 1.0001e+06,-1,-1
cl_n=50000_deg=10_ple=5.1_seed=836,ifub_foursweephd,8,3945,0,-1, 76804.9,-1,-1
cl_n=50000_deg=10_ple=5.1_seed=836,ifub_hd,8,3941,0,-1, 422090,-1,-1
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.0_seed=1001_square,ifub_foursweephd,10,6,10,0.99976, 1780.04,0.307758,0.686166
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.0_seed=1001_torus,ifub_foursweephd,10,6,1,0.999957, 872.586,0.986495,0.525119
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.0_seed=1001_torus,ifub_hd,10,4,0,0.999978, 147.333,0.638559,0.374783
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.0_seed=14_square,ifub_foursweephd,11,7,0,0.999978, 2164.99,0.89267,0.440374
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.0_seed=14_torus,ifub_foursweephd,10,6,0,0.999978, 1740.82,0.892669,0.440374
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.0_seed=14_torus,ifub_hd,10,2,0,0.999978, 4.53614,0.892669,0.440374
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.0_seed=237_square,ifub_foursweephd,12,6,0,0.999978, 291.563,0.290834,0.965902
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.0_seed=237_square,ifub_hd,12,2,0,0.999978, 272.31,0.290834,0.965902
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.0_seed=237_torus,ifub_foursweephd,11,9,0,0.999978, 700.785,0.290833,0.965902
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.0_seed=2_square,ifub_foursweephd,12,6,0,0.999978, 924.018,0.77138,0.585576
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.0_seed=2_square,ifub_hd,12,2,0,0.999978, 576.183,0.77138,0.585576
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.0_seed=2_torus,ifub_foursweephd,12,6,0,0.999978, 492.365,0.771379,0.585575
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.0_seed=321_square,ifub_foursweephd,12,6,2770,0.931556, 971.992,0.749474,0.28065
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.0_seed=321_torus,ifub_foursweephd,12,6,3088,0.932512, 272.607,0.749474,0.280649
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.0_seed=321_torus,ifub_hd,12,3,0,0.999978, 37.9171,0.410076,0.214125
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.0_seed=356_square,ifub_foursweephd,11,7,0,0.999978, 739.403,0.481288,0.1508
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.0_seed=356_square,ifub_hd,11,3,0,0.999978, 241.474,0.481288,0.1508
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.0_seed=356_torus,ifub_foursweephd,10,6,0,0.999979, 1656.77,0.481288,0.1508
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.0_seed=356_torus,ifub_hd,10,2,0,0.999979, 244.769,0.481288,0.1508
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.0_seed=489_square,ifub_foursweephd,12,6,1,0.999957, 427.741,0.35526,0.69102
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.0_seed=489_square,ifub_hd,12,4,0,0.999978, 66.5795,0.418152,0.108178
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.0_seed=489_torus,ifub_foursweephd,11,8,0,0.999978, 250.951,0.418152,0.108178
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.0_seed=55_square,ifub_foursweephd,14,6,0,0.999978, 234.645,0.280556,0.365856
girg_n=50000_deg=10_dim=2_ple=2.1_T=0.0_seed=55_torus,ifub_foursweephd,11,8,0,0.999978, 2155.34,0.280557,0.365856
