graph,algo,diameter,bfs_count,startvtx_degree,startvtx_ecc,time_diameter_exact
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=64,ifub_foursweephd,12,7,24746,6,125.045
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=64,ifub_hd,12,3,24746,6,160.209
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=64,random,12,21,6,8,165.223
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=64,q1,12,6,1,7,650.077
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=64,q2,12,6,12,7,537.015
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=64,q3,12,4,157,7,35.8977
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=64,q4,12,3,1984,7,178.267
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=64,q5,12,3,24746,6,669.827
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=64_square,ifub_foursweephd,12,7,18870,6,264.864
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=64_square,ifub_hd,12,3,18870,6,32.55
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=64_square,random,12,22,2,8,1024.1
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=64_square,q1,12,45,1,8,2914.29
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=64_square,q2,12,6,11,7,762.078
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=64_square,q3,12,4,137,7,159.664
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=64_square,q4,12,4,1659,7,267.999
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=64_square,q5,12,3,18870,6,333.734
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=836,ifub_foursweephd,11,8,24740,6,988.711
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=836,ifub_hd,11,4,24740,6,346.858
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=836,random,11,24,28,7,83.9428
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=836,q1,11,28,1,7,144.709
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=836,q2,11,27,12,7,2033.78
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=836,q3,11,17,157,7,1704.23
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=836,q4,11,9,1983,6,560.998
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=836,q5,11,4,24740,6,516.875
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=836_square,ifub_foursweephd,12,6,9229,6,497.666
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=836_square,ifub_hd,12,2,14839,6,38.3335
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=836_square,random,12,21,4,8,2047.88
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=836_square,q1,12,8,1,7,573.986
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=836_square,q2,12,13,11,7,1852.73
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=836_square,q3,12,6,121,7,612.681
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=836_square,q4,12,3,1367,6,186.535
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.0_seed=836_square,q5,12,2,14839,6,403.625
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=2323,ifub_foursweephd,13,7,14728,7,60.5597
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=2323,ifub_hd,13,4,24200,7,276.058
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=2323,random,13,26,2,8,1507.37
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=2323,q1,13,10,1,8,251.978
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=2323,q2,13,10,12,8,940.473
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=2323,q3,13,6,155,7,554.381
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=2323,q4,13,6,1999,7,542.817
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=2323,q5,13,4,24200,7,1112.19
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=2323_square,ifub_foursweephd,14,6,205,7,278.62
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=2323_square,ifub_hd,14,3,14984,8,119.759
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=2323_square,random,14,6,80,9,400.091
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=2323_square,q1,14,20,1,10,100.11
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=2323_square,q2,14,6,11,9,1052.88
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=2323_square,q3,14,6,122,9,713.784
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=2323_square,q4,14,5,1367,8,297.259
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=2323_square,q5,14,3,14984,8,26.4007
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=252,ifub_foursweephd,11,7,24207,6,465.085
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=252,ifub_hd,11,3,24207,6,55.1886
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=252,random,11,79,2,7,1885.63
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=252,q1,11,18,1,7,143.482
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=252,q2,11,35,12,7,2443.42
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=252,q3,11,11,155,6,931.121
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=252,q4,11,5,1970,6,628.91
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=252,q5,11,3,24207,6,249.72
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=252_square,ifub_foursweephd,12,6,14459,6,473.958
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=252_square,ifub_hd,12,2,14459,6,6.27987
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=252_square,random,12,87,1,9,4505.73
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=252_square,q1,12,39,1,8,4801.67
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=252_square,q2,12,4,10,7,700.807
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=252_square,q3,12,4,120,7,26.7288
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=252_square,q4,12,4,1339,7,68.1348
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=252_square,q5,12,2,14459,6,43.2328
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=321,ifub_foursweephd,11,7,24112,6,273.059
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=321,ifub_hd,11,3,24112,6,9.38183
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=321,random,11,103,4,7,865.612
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=321,q1,11,35,1,7,133.813
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=321,q2,11,35,12,7,460.693
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=321,q3,11,22,155,7,1691.01
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=321,q4,11,6,1939,6,875.899
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=321,q5,11,3,24112,6,62.2976
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=321_square,ifub_foursweephd,12,6,21470,6,559.463
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=321_square,ifub_hd,12,2,21470,6,123.083
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=321_square,random,12,145,2,9,688.426
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=321_square,q1,12,62,1,8,7129.24
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=321_square,q2,12,7,12,7,723.357
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=321_square,q3,12,5,146,7,179.545
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=321_square,q4,12,3,1880,7,62.9987
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=321_square,q5,12,2,21470,6,271.715
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=34121,ifub_foursweephd,12,6,24006,6,469.659
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=34121,ifub_hd,12,2,24006,6,158.98
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=34121,random,12,6,18,7,38.2433
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=34121,q1,12,6,1,7,1443.66
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=34121,q2,12,6,12,7,154.879
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=34121,q3,12,4,154,7,413.934
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=34121,q4,12,3,2051,7,418.758
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=34121,q5,12,2,24006,6,380.024
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=34121_square,ifub_foursweephd,12,6,14723,6,633.566
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=34121_square,ifub_hd,12,2,14723,6,6.13274
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=34121_square,random,12,12,7,8,51.1909
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=34121_square,q1,12,8,1,7,946.718
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=34121_square,q2,12,8,11,7,125.641
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=34121_square,q3,12,8,121,7,978.032
girgbig_n=100000_deg=10_dim=2_ple=2.1_T=0.4_seed=34121_square,q4,12,5,1338,7,134.276
